id,title,url,img_url,chanell,rating
3tyM_M3FQNM,"Transforming a quadrilateral",http://www.youtube.com/watch?v=3tyM_M3FQNM&feature=youtube_gdata,http://i1.ytimg.com/vi/3tyM_M3FQNM/hqdefault.jpg,khanacademy,4.8
PPOIlLhsT6s,"Representing data with matrices",http://www.youtube.com/watch?v=PPOIlLhsT6s&feature=youtube_gdata,http://i1.ytimg.com/vi/PPOIlLhsT6s/hqdefault.jpg,khanacademy,4.818182
BveA7JiRGS8,"Comparing insurance with expected value",http://www.youtube.com/watch?v=BveA7JiRGS8&feature=youtube_gdata,http://i1.ytimg.com/vi/BveA7JiRGS8/hqdefault.jpg,khanacademy,5.0
86nb02Bx_5w,"Expected value while fishing",http://www.youtube.com/watch?v=86nb02Bx_5w&feature=youtube_gdata,http://i1.ytimg.com/vi/86nb02Bx_5w/hqdefault.jpg,khanacademy,5.0
6vlBOHckmzU,"Expected profit from lottery ticket",http://www.youtube.com/watch?v=6vlBOHckmzU&feature=youtube_gdata,http://i1.ytimg.com/vi/6vlBOHckmzU/hqdefault.jpg,khanacademy,4.928571
gHpl5UcgRkI,"Getting data from expected value",http://www.youtube.com/watch?v=gHpl5UcgRkI&feature=youtube_gdata,http://i1.ytimg.com/vi/gHpl5UcgRkI/hqdefault.jpg,khanacademy,4.3846154
od0pjs3gsto,"Fair way to assign cooking chore",http://www.youtube.com/watch?v=od0pjs3gsto&feature=youtube_gdata,http://i1.ytimg.com/vi/od0pjs3gsto/hqdefault.jpg,khanacademy,4.733333
vst006REeTQ,"Picking fairly",http://www.youtube.com/watch?v=vst006REeTQ&feature=youtube_gdata,http://i1.ytimg.com/vi/vst006REeTQ/hqdefault.jpg,khanacademy,4.6923075
6xPkG2pA-TU,"Calculating conditional probability",http://www.youtube.com/watch?v=6xPkG2pA-TU&feature=youtube_gdata,http://i1.ytimg.com/vi/6xPkG2pA-TU/hqdefault.jpg,khanacademy,5.0
8iKsY8C5VW8,"Analyzing dependent probability",http://www.youtube.com/watch?v=8iKsY8C5VW8&feature=youtube_gdata,http://i1.ytimg.com/vi/8iKsY8C5VW8/hqdefault.jpg,khanacademy,5.0
UV6mzD2Yc98,"18 Sound of sap",http://www.youtube.com/watch?v=UV6mzD2Yc98&feature=youtube_gdata,http://i1.ytimg.com/vi/UV6mzD2Yc98/hqdefault.jpg,khanacademy,4.818182
l5xbFna_j0Q,"8 Romantic poets",http://www.youtube.com/watch?v=l5xbFna_j0Q&feature=youtube_gdata,http://i1.ytimg.com/vi/l5xbFna_j0Q/hqdefault.jpg,khanacademy,5.0
p3fdeXgErns,"17 Nobel prize",http://www.youtube.com/watch?v=p3fdeXgErns&feature=youtube_gdata,http://i1.ytimg.com/vi/p3fdeXgErns/hqdefault.jpg,khanacademy,5.0
TNACKWquyys,"23 Greek mythology",http://www.youtube.com/watch?v=TNACKWquyys&feature=youtube_gdata,http://i1.ytimg.com/vi/TNACKWquyys/hqdefault.jpg,khanacademy,4.7647057
wgnJevkTEdw,"13 Inflation rate",http://www.youtube.com/watch?v=wgnJevkTEdw&feature=youtube_gdata,http://i1.ytimg.com/vi/wgnJevkTEdw/hqdefault.jpg,khanacademy,5.0
